Time:512Hz,Epoch,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7,Channel 8,Channel 9,Channel 10,Channel 11,Channel 12,Channel 13,Channel 14,Channel 15,Channel 16,Event Id,Event Date,Event Duration
0.0000000000,0,-422346432.0000000000,565543232.0000000000,666272064.0000000000,-542473920.0000000000,-1628405376.0000000000,-761757120.0000000000,232423744.0000000000,-431259072.0000000000,1440055936.0000000000,220889664.0000000000,894992960.0000000000,-1872330112.0000000000,-1527676544.0000000000,-210402752.0000000000,-1194557056.0000000000,-878214848.0000000000,,,
0.0019531250,0,-2093186432.0000000000,1003586112.0000000000,-1754824064.0000000000,2103673472.0000000000,2103673472.0000000000,2109964672.0000000000,-881884608.0000000000,-204111552.0000000000,1119519104.0000000000,-758087360.0000000000,783778112.0000000000,-1410170496.0000000000,-1970437504.0000000000,-1966767744.0000000000,2654789.0000000000,1221821056.0000000000,,,
0.0039062500,0,1222869376.0000000000,568164672.0000000000,-875593408.0000000000,11567429.0000000000,-872971968.0000000000,-1097497984.0000000000,1220247936.0000000000,1980924544.0000000000,-759135680.0000000000,1775796864.0000000000,1885438592.0000000000,897614400.0000000000,227180864.0000000000,-764378560.0000000000,2112586112.0000000000,-973700800.0000000000,,,
0.0058593750,0,218268224.0000000000,-426016192.0000000000,1339327104.0000000000,995721792.0000000000,-1970437504.0000000000,-209354432.0000000000,1986167424.0000000000,1894351232.0000000000,-973700800.0000000000,-1748532864.0000000000,344686912.0000000000,-537231040.0000000000,-1416461696.0000000000,-1530297984.0000000000,-537231040.0000000000,444367424.0000000000,,,
0.0078125000,0,1776845184.0000000000,1122140544.0000000000,-422346432.0000000000,663650624.0000000000,436503104.0000000000,-2087943552.0000000000,786399552.0000000000,335774272.0000000000,226132544.0000000000,446988864.0000000000,1650426496.0000000000,1554940544.0000000000,1553367424.0000000000,-1421704576.0000000000,-1410170496.0000000000,-539852480.0000000000,,,
0.0097656250,0,2098430592.0000000000,-979992000.0000000000,-879263168.0000000000,-764378560.0000000000,-641629632.0000000000,-760708800.0000000000,122782280.0000000000,990478912.0000000000,450658624.0000000000,772244032.0000000000,450658624.0000000000,-1203469696.0000000000,-1094876544.0000000000,1544454784.0000000000,-551386560.0000000000,-1413840256.0000000000,,,
0.0117187500,0,-652115392.0000000000,-419724992.0000000000,-1541832064.0000000000,117539400.0000000000,2103673472.0000000000,-1411218816.0000000000,-1541832064.0000000000,-333151680.0000000000,449610304.0000000000,1113227904.0000000000,2106294912.0000000000,-1416461696.0000000000,1894351232.0000000000,1219199616.0000000000,657359424.0000000000,-1323597184.0000000000,,,
0.0136718750,0,-1206091136.0000000000,-540900800.0000000000,657359424.0000000000,343638592.0000000000,-1539210624.0000000000,218268224.0000000000,667845184.0000000000,338395712.0000000000,2654789.0000000000,-652115392.0000000000,436503104.0000000000,-548765120.0000000000,231375424.0000000000,1426948736.0000000000,2098430592.0000000000,1773175424.0000000000,,,
0.0156250000,0,-887127488.0000000000,-1323597184.0000000000,-1206091136.0000000000,-1309441664.0000000000,-1541832064.0000000000,346260032.0000000000,1326219904.0000000000,-1978301824.0000000000,1000964672.0000000000,-1754824064.0000000000,-114916792.0000000000,131694920.0000000000,-539852480.0000000000,-1313111424.0000000000,-1978301824.0000000000,436503104.0000000000,,,
0.0175781250,0,-652115392.0000000000,1554940544.0000000000,13140549.0000000000,990478912.0000000000,654737984.0000000000,1435861376.0000000000,-979992000.0000000000,1880195712.0000000000,-1191935616.0000000000,-755465920.0000000000,131694920.0000000000,-1966767744.0000000000,1988788864.0000000000,-215645632.0000000000,892371520.0000000000,1773175424.0000000000,,,
0.0195312500,0,1762689664.0000000000,-755465920.0000000000,1659339136.0000000000,131694920.0000000000,1656717696.0000000000,-1752202624.0000000000,338395712.0000000000,1765311104.0000000000,-107052472.0000000000,1224442496.0000000000,-419724992.0000000000,-104431032.0000000000,3703109.0000000000,777486912.0000000000,1326219904.0000000000,654737984.0000000000,,,
0.0214843750,0,1983545984.0000000000,561873472.0000000000,1221821056.0000000000,1776845184.0000000000,569737792.0000000000,-1540783744.0000000000,-649493952.0000000000,218268224.0000000000,436503104.0000000000,668893504.0000000000,450658624.0000000000,1659339136.0000000000,561873472.0000000000,2654789.0000000000,-2093186432.0000000000,894992960.0000000000,,,
0.0234375000,0,-1628405376.0000000000,1222869376.0000000000,-321617600.0000000000,1656717696.0000000000,-537231040.0000000000,-1100119424.0000000000,774865472.0000000000,-1320975744.0000000000,-1757445504.0000000000,130646600.0000000000,1114276224.0000000000,-546143680.0000000000,-334724800.0000000000,1882817152.0000000000,1004634432.0000000000,901284160.0000000000,,,
